activity,confidence,timestamp
On_Bicycle,89,22:08:11
On_Foot,89,22:08:11
Walking,89,22:08:11
Running,89,22:08:11
Still,89,22:08:11
Unknown,89,22:08:26
In_Vehicle,89,22:08:26
On_Bicycle,89,22:08:26
On_Foot,89,22:08:26
Walking,89,22:08:26
Running,89,22:08:26
Still,89,22:08:26
Unknown,89,22:08:41
In_Vehicle,89,22:08:41
On_Bicycle,89,22:08:41
On_Foot,89,22:08:41
Walking,89,22:08:41
Running,89,22:08:41
Still,89,22:08:41
Unknown,89,22:08:54
In_Vehicle,89,22:08:54
On_Bicycle,89,22:08:54
On_Foot,89,22:08:54
Walking,89,22:08:54
Running,89,22:08:54
Still,89,22:08:54
Unknown,89,22:09:05
In_Vehicle,89,22:09:05
On_Bicycle,89,22:09:05
On_Foot,89,22:09:05
Walking,89,22:09:05
Running,89,22:09:05
Still,89,22:09:05
Unknown,89,22:09:16
In_Vehicle,89,22:09:16
On_Bicycle,89,22:09:16
On_Foot,89,22:09:16
Walking,89,22:09:16
Running,89,22:09:16
Still,89,22:09:16
Unknown,89,22:09:28
In_Vehicle,89,22:09:28
On_Bicycle,89,22:09:28
On_Foot,89,22:09:28
Walking,89,22:09:28
Running,89,22:09:28
Still,89,22:09:28
In_Vehicle,90,22:09:39
Still,90,22:09:39
Unknown,90,22:09:39
On_Foot,90,22:09:39
Walking,90,22:09:39
In_Vehicle,97,22:09:50
Unknown,97,22:09:50
Unknown,97,22:10:00
In_Vehicle,97,22:10:00
On_Bicycle,97,22:10:00
On_Foot,97,22:10:00
Walking,97,22:10:00
Running,97,22:10:00
Still,97,22:10:00
,,
,,
,,
,,
,,
,,
,,
