activity,confidence,timestamp,phone_lat,phone_long
Walking,97,Thu Oct 28 20:56:41 GMT+02:00 2021,55.8248146,9.8633891
Walking,97,Thu Oct 28 20:56:45 GMT+02:00 2021,55.8247825,9.86332
Walking,97,Thu Oct 28 20:56:49 GMT+02:00 2021,55.824767,9.8632482
Walking,97,Thu Oct 28 20:56:52 GMT+02:00 2021,55.824766,9.8631667
Walking,98,Thu Oct 28 20:56:55 GMT+02:00 2021,55.8247639,9.8630974
Walking,98,Thu Oct 28 20:56:59 GMT+02:00 2021,55.8247657,9.8630271
Walking,98,Thu Oct 28 20:57:03 GMT+02:00 2021,55.8247707,9.8629518
Walking,98,Thu Oct 28 20:57:06 GMT+02:00 2021,55.8247837,9.862892
Walking,98,Thu Oct 28 20:57:10 GMT+02:00 2021,55.824791,9.8628288
Walking,98,Thu Oct 28 20:57:13 GMT+02:00 2021,55.8247942,9.8627434
Walking,98,Thu Oct 28 20:57:16 GMT+02:00 2021,55.8247957,9.8626458
Walking,98,Thu Oct 28 20:57:19 GMT+02:00 2021,55.824799,9.8625377
Walking,98,Thu Oct 28 20:57:23 GMT+02:00 2021,55.8248365,9.8625364
Walking,98,Thu Oct 28 20:57:26 GMT+02:00 2021,55.824876,9.8625593
Walking,98,Thu Oct 28 20:57:30 GMT+02:00 2021,55.8249179,9.8625803
Walking,98,Thu Oct 28 20:57:33 GMT+02:00 2021,55.8249526,9.8625962
Walking,98,Thu Oct 28 20:57:36 GMT+02:00 2021,55.8249879,9.8625982
Tilting,100,Thu Oct 28 20:57:39 GMT+02:00 2021,55.8250717,9.8626045
Tilting,100,Thu Oct 28 20:57:43 GMT+02:00 2021,55.825157,9.8625856
Tilting,100,Thu Oct 28 20:57:46 GMT+02:00 2021,55.8252695,9.8625837
Running,91,Thu Oct 28 20:57:49 GMT+02:00 2021,55.8253733,9.8625701
Running,91,Thu Oct 28 20:57:53 GMT+02:00 2021,55.8254752,9.8625535
Running,91,Thu Oct 28 20:57:56 GMT+02:00 2021,55.8255492,9.8625545
Running,72,Thu Oct 28 20:57:59 GMT+02:00 2021,55.8256156,9.8625552
Running,72,Thu Oct 28 20:58:02 GMT+02:00 2021,55.8257056,9.862559
Running,97,Thu Oct 28 20:58:05 GMT+02:00 2021,55.8257886,9.862562
Running,97,Thu Oct 28 20:58:09 GMT+02:00 2021,55.82587,9.8625755
Running,97,Thu Oct 28 20:58:12 GMT+02:00 2021,55.8259578,9.8625982
Running,97,Thu Oct 28 20:58:15 GMT+02:00 2021,55.8260388,9.8626261
Walking,87,Thu Oct 28 20:58:18 GMT+02:00 2021,55.8261139,9.8626646
Walking,87,Thu Oct 28 20:58:21 GMT+02:00 2021,55.8261866,9.8627287
Walking,87,Thu Oct 28 20:58:25 GMT+02:00 2021,55.8262561,9.8627787
Running,67,Thu Oct 28 20:58:28 GMT+02:00 2021,55.826316,9.8628826
Running,67,Thu Oct 28 20:58:32 GMT+02:00 2021,55.8263732,9.8629616
Running,67,Thu Oct 28 20:58:36 GMT+02:00 2021,55.8264196,9.863001
